timestamp,current_mb,forecast_mb,action,reason
41,6228.62,6217.58,none,Memory usage within normal range (39.6% forecast)
42,6230.63,6220.52,none,Memory usage within normal range (39.6% forecast)
43,6244.12,6207.81,none,Memory usage within normal range (39.5% forecast)
44,6233.33,6215.69,none,Memory usage within normal range (39.6% forecast)
45,6226.44,6208.62,none,Memory usage within normal range (39.5% forecast)
46,6224.48,6215.24,none,Memory usage within normal range (39.6% forecast)
47,6247.53,6193.49,none,Memory usage within normal range (39.4% forecast)
48,6225.63,6202.48,none,Memory usage within normal range (39.5% forecast)
49,6222.59,6206.14,none,Memory usage within normal range (39.5% forecast)
50,6210.9,6215.96,none,Memory usage within normal range (39.6% forecast)
51,6223.97,6220.78,none,Memory usage within normal range (39.6% forecast)
52,6224.72,6208.82,none,Memory usage within normal range (39.5% forecast)
53,6205.24,6201.58,none,Memory usage within normal range (39.5% forecast)
54,6218.66,6205.17,none,Memory usage within normal range (39.5% forecast)
55,6207.97,6207.83,none,Memory usage within normal range (39.5% forecast)
56,6218.26,6204.09,none,Memory usage within normal range (39.5% forecast)
57,6190.28,6200.34,none,Memory usage within normal range (39.5% forecast)
58,6186.63,6118.52,none,Memory usage within normal range (38.9% forecast)
59,6199.74,6104.6,none,Memory usage within normal range (38.9% forecast)
60,6219.07,6101.61,none,Memory usage within normal range (38.8% forecast)
61,6227.92,6114.24,none,Memory usage within normal range (38.9% forecast)
62,6234.29,6070.86,none,Memory usage within normal range (38.6% forecast)
63,6218.43,6062.78,none,Memory usage within normal range (38.6% forecast)
64,6204.38,6069.22,none,Memory usage within normal range (38.6% forecast)
65,6203.95,6065.94,none,Memory usage within normal range (38.6% forecast)
66,6206.63,6076.83,none,Memory usage within normal range (38.7% forecast)
67,6196.78,6083.29,none,Memory usage within normal range (38.7% forecast)
68,6086.86,6087.97,none,Memory usage within normal range (38.8% forecast)
69,6073.53,6064.49,none,Memory usage within normal range (38.6% forecast)
70,6073.99,6058.61,none,Memory usage within normal range (38.6% forecast)
71,6085.87,6049.32,none,Memory usage within normal range (38.5% forecast)
72,6072.83,6043.13,none,Memory usage within normal range (38.5% forecast)
73,6056.14,6063.21,none,Memory usage within normal range (38.6% forecast)
74,6060.63,6074.01,none,Memory usage within normal range (38.7% forecast)
75,6056.99,6070.33,none,Memory usage within normal range (38.6% forecast)
76,6068.8,6062.81,none,Memory usage within normal range (38.6% forecast)
77,6083.52,6064.0,none,Memory usage within normal range (38.6% forecast)
78,6054.75,6065.3,none,Memory usage within normal range (38.6% forecast)
79,6074.68,6055.61,none,Memory usage within normal range (38.5% forecast)
80,6059.22,6058.3,none,Memory usage within normal range (38.6% forecast)
81,6041.64,6065.92,none,Memory usage within normal range (38.6% forecast)
82,6037.18,6072.48,none,Memory usage within normal range (38.7% forecast)
83,6066.86,6063.51,none,Memory usage within normal range (38.6% forecast)
84,6083.22,6062.13,none,Memory usage within normal range (38.6% forecast)
85,6070.5,6055.36,none,Memory usage within normal range (38.5% forecast)
86,6065.69,6057.53,none,Memory usage within normal range (38.6% forecast)
87,6068.08,6055.5,none,Memory usage within normal range (38.5% forecast)
88,6067.8,6049.9,none,Memory usage within normal range (38.5% forecast)
89,6054.75,6052.62,none,Memory usage within normal range (38.5% forecast)
90,6056.75,6044.02,none,Memory usage within normal range (38.5% forecast)
91,6069.56,6057.74,none,Memory usage within normal range (38.6% forecast)
92,6081.3,6050.4,none,Memory usage within normal range (38.5% forecast)
93,6067.02,6055.01,none,Memory usage within normal range (38.5% forecast)
94,6063.74,6046.64,none,Memory usage within normal range (38.5% forecast)
95,6054.86,6038.74,none,Memory usage within normal range (38.4% forecast)
96,6059.41,6048.68,none,Memory usage within normal range (38.5% forecast)
97,6057.51,6045.63,none,Memory usage within normal range (38.5% forecast)
98,6042.44,6059.12,none,Memory usage within normal range (38.6% forecast)
99,6050.83,6061.72,none,Memory usage within normal range (38.6% forecast)
100,6033.91,6063.1,none,Memory usage within normal range (38.6% forecast)
101,6060.59,6056.52,none,Memory usage within normal range (38.6% forecast)
102,6052.41,6045.22,none,Memory usage within normal range (38.5% forecast)
103,6055.35,6037.32,none,Memory usage within normal range (38.4% forecast)
104,6045.14,6025.26,none,Memory usage within normal range (38.4% forecast)
105,6028.79,6021.78,none,Memory usage within normal range (38.3% forecast)
106,6046.16,6033.2,none,Memory usage within normal range (38.4% forecast)
107,6036.43,6016.76,none,Memory usage within normal range (38.3% forecast)
108,6067.32,6025.11,none,Memory usage within normal range (38.4% forecast)
109,6073.44,6026.51,none,Memory usage within normal range (38.4% forecast)
110,6075.24,6036.53,none,Memory usage within normal range (38.4% forecast)
111,6066.93,6036.26,none,Memory usage within normal range (38.4% forecast)
112,6052.02,6040.23,none,Memory usage within normal range (38.4% forecast)
113,6033.9,6043.82,none,Memory usage within normal range (38.5% forecast)
114,6014.14,6050.4,none,Memory usage within normal range (38.5% forecast)
115,6010.11,6067.21,none,Memory usage within normal range (38.6% forecast)
116,6019.11,6064.91,none,Memory usage within normal range (38.6% forecast)
117,6017.0,6059.94,none,Memory usage within normal range (38.6% forecast)
118,6010.59,6058.15,none,Memory usage within normal range (38.6% forecast)
119,6022.13,6057.96,none,Memory usage within normal range (38.6% forecast)
120,6035.18,6054.99,none,Memory usage within normal range (38.5% forecast)
121,6044.98,6053.42,none,Memory usage within normal range (38.5% forecast)
122,6038.43,6039.96,none,Memory usage within normal range (38.4% forecast)
123,6047.88,6044.46,none,Memory usage within normal range (38.5% forecast)
124,6052.7,6054.47,none,Memory usage within normal range (38.5% forecast)
125,6069.91,6049.12,none,Memory usage within normal range (38.5% forecast)
126,6070.68,6037.6,none,Memory usage within normal range (38.4% forecast)
127,6065.67,6038.15,none,Memory usage within normal range (38.4% forecast)
128,6059.26,6048.19,none,Memory usage within normal range (38.5% forecast)
129,6059.54,6047.66,none,Memory usage within normal range (38.5% forecast)
130,6054.47,6044.18,none,Memory usage within normal range (38.5% forecast)
131,6067.89,6058.12,none,Memory usage within normal range (38.6% forecast)
132,6045.15,6054.86,none,Memory usage within normal range (38.5% forecast)
133,6049.55,6021.5,none,Memory usage within normal range (38.3% forecast)
134,6044.33,6024.18,none,Memory usage within normal range (38.3% forecast)
135,6040.89,6021.77,none,Memory usage within normal range (38.3% forecast)
136,6037.76,6026.61,none,Memory usage within normal range (38.4% forecast)
137,6037.01,6024.96,none,Memory usage within normal range (38.4% forecast)
138,6044.39,6021.26,none,Memory usage within normal range (38.3% forecast)
139,6050.32,6017.99,none,Memory usage within normal range (38.3% forecast)
140,6044.01,6016.51,none,Memory usage within normal range (38.3% forecast)
141,6065.97,6028.67,none,Memory usage within normal range (38.4% forecast)
142,6059.95,6032.47,none,Memory usage within normal range (38.4% forecast)
143,6004.62,6036.2,none,Memory usage within normal range (38.4% forecast)
144,6021.15,6044.93,none,Memory usage within normal range (38.5% forecast)
145,6014.47,6043.57,none,Memory usage within normal range (38.5% forecast)
146,6025.63,6041.81,none,Memory usage within normal range (38.5% forecast)
147,6024.67,6046.41,none,Memory usage within normal range (38.5% forecast)
148,6017.51,6044.18,none,Memory usage within normal range (38.5% forecast)
149,6014.78,6053.31,none,Memory usage within normal range (38.5% forecast)
150,6012.04,6053.31,none,Memory usage within normal range (38.5% forecast)
151,6023.4,6068.06,none,Memory usage within normal range (38.6% forecast)
152,6029.31,6110.68,none,Memory usage within normal range (38.9% forecast)
153,6033.69,6478.36,prealloc,Predicted spike of 445 MB (current 6034 -> forecast 6478) exceeds 200 MB delta -- recommend pre-allocation
154,6043.59,6422.65,prealloc,Predicted spike of 379 MB (current 6044 -> forecast 6423) exceeds 200 MB delta -- recommend pre-allocation
155,6043.7,6448.64,prealloc,Predicted spike of 405 MB (current 6044 -> forecast 6449) exceeds 200 MB delta -- recommend pre-allocation
156,6039.42,6456.2,prealloc,Predicted spike of 417 MB (current 6039 -> forecast 6456) exceeds 200 MB delta -- recommend pre-allocation
157,6047.43,6459.39,prealloc,Predicted spike of 412 MB (current 6047 -> forecast 6459) exceeds 200 MB delta -- recommend pre-allocation
158,6039.12,6439.97,prealloc,Predicted spike of 401 MB (current 6039 -> forecast 6440) exceeds 200 MB delta -- recommend pre-allocation
159,6058.98,6414.93,prealloc,Predicted spike of 356 MB (current 6059 -> forecast 6415) exceeds 200 MB delta -- recommend pre-allocation
160,6055.05,6411.92,prealloc,Predicted spike of 357 MB (current 6055 -> forecast 6412) exceeds 200 MB delta -- recommend pre-allocation
161,6061.33,6400.51,prealloc,Predicted spike of 339 MB (current 6061 -> forecast 6401) exceeds 200 MB delta -- recommend pre-allocation
162,6052.21,6375.7,prealloc,Predicted spike of 323 MB (current 6052 -> forecast 6376) exceeds 200 MB delta -- recommend pre-allocation
163,6465.67,6397.54,none,Memory usage within normal range (40.7% forecast)
164,6464.79,6446.56,none,Memory usage within normal range (41.0% forecast)
165,6465.84,6436.43,none,Memory usage within normal range (41.0% forecast)
166,6465.22,6419.63,none,Memory usage within normal range (40.9% forecast)
167,6466.66,6419.6,none,Memory usage within normal range (40.9% forecast)
168,6443.16,6414.99,none,Memory usage within normal range (40.8% forecast)
169,6429.93,6380.31,none,Memory usage within normal range (40.6% forecast)
170,6398.65,6293.23,none,Memory usage within normal range (40.1% forecast)
171,6386.98,6268.37,none,Memory usage within normal range (39.9% forecast)
172,6382.48,6263.72,none,Memory usage within normal range (39.9% forecast)
173,6425.53,6239.97,none,Memory usage within normal range (39.7% forecast)
174,6448.37,6289.12,none,Memory usage within normal range (40.0% forecast)
175,6449.65,6287.86,none,Memory usage within normal range (40.0% forecast)
176,6420.36,6291.24,none,Memory usage within normal range (40.0% forecast)
177,6418.85,6276.02,none,Memory usage within normal range (39.9% forecast)
178,6428.86,6266.13,none,Memory usage within normal range (39.9% forecast)
179,6427.0,6279.89,none,Memory usage within normal range (40.0% forecast)
180,6276.5,6275.6,none,Memory usage within normal range (39.9% forecast)
181,6256.33,6265.03,none,Memory usage within normal range (39.9% forecast)
182,6252.45,6275.34,none,Memory usage within normal range (39.9% forecast)
183,6246.6,6265.38,none,Memory usage within normal range (39.9% forecast)
184,6255.96,6282.89,none,Memory usage within normal range (40.0% forecast)
185,6250.92,6288.48,none,Memory usage within normal range (40.0% forecast)
186,6281.76,6283.0,none,Memory usage within normal range (40.0% forecast)
187,6273.3,6293.85,none,Memory usage within normal range (40.1% forecast)
188,6256.2,6283.18,none,Memory usage within normal range (40.0% forecast)
189,6273.7,6297.27,none,Memory usage within normal range (40.1% forecast)
190,6274.63,6289.2,none,Memory usage within normal range (40.0% forecast)
191,6272.71,6293.32,none,Memory usage within normal range (40.1% forecast)
192,6270.8,6298.57,none,Memory usage within normal range (40.1% forecast)
193,6277.57,6302.25,none,Memory usage within normal range (40.1% forecast)
194,6290.55,6313.81,none,Memory usage within normal range (40.2% forecast)
195,6296.54,6346.98,none,Memory usage within normal range (40.4% forecast)
196,6301.35,6362.18,none,Memory usage within normal range (40.5% forecast)
197,6291.59,6392.78,none,Memory usage within normal range (40.7% forecast)
198,6291.84,6381.58,none,Memory usage within normal range (40.6% forecast)
199,6305.24,6384.55,none,Memory usage within normal range (40.6% forecast)
200,6284.74,6389.03,none,Memory usage within normal range (40.7% forecast)
201,6287.45,6391.25,none,Memory usage within normal range (40.7% forecast)
202,6290.0,6391.63,none,Memory usage within normal range (40.7% forecast)
203,6295.81,6401.76,none,Memory usage within normal range (40.7% forecast)
204,6309.7,6393.35,none,Memory usage within normal range (40.7% forecast)
205,6364.89,6384.97,none,Memory usage within normal range (40.6% forecast)
206,6382.58,6412.59,none,Memory usage within normal range (40.8% forecast)
207,6397.86,6415.4,none,Memory usage within normal range (40.8% forecast)
208,6383.81,6414.68,none,Memory usage within normal range (40.8% forecast)
209,6390.62,6388.35,none,Memory usage within normal range (40.7% forecast)
210,6396.16,6424.4,none,Memory usage within normal range (40.9% forecast)
211,6397.24,6427.42,none,Memory usage within normal range (40.9% forecast)
212,6390.88,6436.21,none,Memory usage within normal range (41.0% forecast)
213,6408.65,6431.18,none,Memory usage within normal range (40.9% forecast)
214,6391.64,6421.45,none,Memory usage within normal range (40.9% forecast)
215,6409.4,6430.69,none,Memory usage within normal range (40.9% forecast)
216,6409.62,6426.53,none,Memory usage within normal range (40.9% forecast)
217,6443.15,6434.58,none,Memory usage within normal range (41.0% forecast)
218,6429.08,6447.72,none,Memory usage within normal range (41.0% forecast)
219,6440.83,6440.14,none,Memory usage within normal range (41.0% forecast)
220,6438.34,6469.59,none,Memory usage within normal range (41.2% forecast)
221,6429.95,6466.21,none,Memory usage within normal range (41.2% forecast)
222,6440.14,6461.39,none,Memory usage within normal range (41.1% forecast)
223,6433.75,6460.86,none,Memory usage within normal range (41.1% forecast)
224,6432.18,6468.83,none,Memory usage within normal range (41.2% forecast)
225,6472.18,6477.72,none,Memory usage within normal range (41.2% forecast)
226,6454.25,6477.59,none,Memory usage within normal range (41.2% forecast)
227,6465.66,6507.68,none,Memory usage within normal range (41.4% forecast)
228,6467.89,6533.6,none,Memory usage within normal range (41.6% forecast)
229,6469.88,6538.37,none,Memory usage within normal range (41.6% forecast)
230,6475.92,6537.9,none,Memory usage within normal range (41.6% forecast)
231,6469.97,6549.58,none,Memory usage within normal range (41.7% forecast)
232,6472.03,6549.1,none,Memory usage within normal range (41.7% forecast)
233,6467.61,6541.73,none,Memory usage within normal range (41.6% forecast)
234,6474.54,6539.06,none,Memory usage within normal range (41.6% forecast)
235,6474.62,6512.2,none,Memory usage within normal range (41.5% forecast)
236,6493.12,6502.88,none,Memory usage within normal range (41.4% forecast)
237,6504.82,6512.34,none,Memory usage within normal range (41.5% forecast)
238,6528.03,6513.18,none,Memory usage within normal range (41.5% forecast)
239,6542.43,6518.49,none,Memory usage within normal range (41.5% forecast)
240,6538.19,6516.28,none,Memory usage within normal range (41.5% forecast)
241,6556.26,6514.72,none,Memory usage within normal range (41.5% forecast)
242,6553.92,6519.97,none,Memory usage within normal range (41.5% forecast)
243,6546.88,6532.81,none,Memory usage within normal range (41.6% forecast)
244,6552.32,6529.87,none,Memory usage within normal range (41.6% forecast)
245,6531.14,6524.34,none,Memory usage within normal range (41.5% forecast)
246,6517.02,6522.13,none,Memory usage within normal range (41.5% forecast)
247,6515.95,6521.3,none,Memory usage within normal range (41.5% forecast)
248,6515.28,6466.78,none,Memory usage within normal range (41.2% forecast)
249,6516.21,6309.02,none,Memory usage within normal range (40.2% forecast)
250,6511.33,6291.08,none,Memory usage within normal range (40.0% forecast)
251,6508.61,6260.62,none,Memory usage within normal range (39.9% forecast)
252,6517.23,6247.19,none,Memory usage within normal range (39.8% forecast)
253,6538.01,6236.87,none,Memory usage within normal range (39.7% forecast)
254,6534.44,6236.28,none,Memory usage within normal range (39.7% forecast)
255,6519.87,6244.1,none,Memory usage within normal range (39.7% forecast)
256,6526.96,6244.41,none,Memory usage within normal range (39.7% forecast)
257,6534.15,6250.9,none,Memory usage within normal range (39.8% forecast)
258,6527.57,6253.1,none,Memory usage within normal range (39.8% forecast)
259,6287.49,6286.7,none,Memory usage within normal range (40.0% forecast)
260,6269.48,6275.67,none,Memory usage within normal range (39.9% forecast)
261,6259.4,6266.56,none,Memory usage within normal range (39.9% forecast)
262,6244.5,6240.98,none,Memory usage within normal range (39.7% forecast)
263,6231.54,6246.4,none,Memory usage within normal range (39.8% forecast)
264,6230.43,6255.89,none,Memory usage within normal range (39.8% forecast)
265,6241.93,6251.82,none,Memory usage within normal range (39.8% forecast)
266,6247.38,6260.45,none,Memory usage within normal range (39.8% forecast)
267,6253.58,6267.91,none,Memory usage within normal range (39.9% forecast)
268,6253.44,6239.59,none,Memory usage within normal range (39.7% forecast)
269,6275.53,6251.0,none,Memory usage within normal range (39.8% forecast)
270,6275.65,6273.1,none,Memory usage within normal range (39.9% forecast)
271,6263.83,6284.41,none,Memory usage within normal range (40.0% forecast)
272,6218.73,6277.51,none,Memory usage within normal range (40.0% forecast)
273,6242.32,6269.7,none,Memory usage within normal range (39.9% forecast)
274,6256.54,6264.24,none,Memory usage within normal range (39.9% forecast)
275,6248.86,6273.16,none,Memory usage within normal range (39.9% forecast)
276,6273.55,6267.93,none,Memory usage within normal range (39.9% forecast)
277,6272.3,6275.78,none,Memory usage within normal range (39.9% forecast)
278,6256.75,6262.51,none,Memory usage within normal range (39.9% forecast)
279,6264.13,6278.32,none,Memory usage within normal range (40.0% forecast)
280,6272.36,6281.76,none,Memory usage within normal range (40.0% forecast)
281,6288.73,6294.26,none,Memory usage within normal range (40.1% forecast)
282,6291.12,6311.26,none,Memory usage within normal range (40.2% forecast)
283,6273.06,6312.19,none,Memory usage within normal range (40.2% forecast)
284,6277.28,6304.43,none,Memory usage within normal range (40.1% forecast)
285,6281.99,6323.31,none,Memory usage within normal range (40.2% forecast)
286,6287.55,6311.14,none,Memory usage within normal range (40.2% forecast)
287,6267.46,6284.91,none,Memory usage within normal range (40.0% forecast)
288,6260.19,6236.57,none,Memory usage within normal range (39.7% forecast)
289,6274.42,6250.71,none,Memory usage within normal range (39.8% forecast)
290,6285.24,6232.66,none,Memory usage within normal range (39.7% forecast)
291,6296.78,6223.11,none,Memory usage within normal range (39.6% forecast)
292,6317.98,6102.48,none,Memory usage within normal range (38.8% forecast)
293,6321.29,6102.2,none,Memory usage within normal range (38.8% forecast)
294,6305.79,6115.04,none,Memory usage within normal range (38.9% forecast)
295,6331.46,6136.02,none,Memory usage within normal range (39.1% forecast)
296,6310.88,6133.69,none,Memory usage within normal range (39.0% forecast)
297,6279.85,6250.39,none,Memory usage within normal range (39.8% forecast)
298,6250.43,6263.3,none,Memory usage within normal range (39.9% forecast)
299,6258.88,6275.78,none,Memory usage within normal range (39.9% forecast)
300,6254.9,6291.25,none,Memory usage within normal range (40.0% forecast)
301,6257.58,6303.53,none,Memory usage within normal range (40.1% forecast)
302,6062.13,6267.67,prealloc,Predicted spike of 206 MB (current 6062 -> forecast 6268) exceeds 200 MB delta -- recommend pre-allocation
303,6065.2,6223.94,none,Memory usage within normal range (39.6% forecast)
304,6092.1,6227.52,none,Memory usage within normal range (39.6% forecast)
305,6102.65,6288.54,none,Memory usage within normal range (40.0% forecast)
306,6100.65,6277.51,none,Memory usage within normal range (40.0% forecast)
307,6262.93,6311.07,none,Memory usage within normal range (40.2% forecast)
308,6278.04,6315.76,none,Memory usage within normal range (40.2% forecast)
309,6276.84,6331.16,none,Memory usage within normal range (40.3% forecast)
310,6294.6,6335.56,none,Memory usage within normal range (40.3% forecast)
311,6317.9,6322.93,none,Memory usage within normal range (40.2% forecast)
312,6297.33,6318.71,none,Memory usage within normal range (40.2% forecast)
313,6304.84,6315.67,none,Memory usage within normal range (40.2% forecast)
314,6277.64,6312.5,none,Memory usage within normal range (40.2% forecast)
315,6307.6,6307.13,none,Memory usage within normal range (40.1% forecast)
316,6299.22,6304.06,none,Memory usage within normal range (40.1% forecast)
317,6321.53,6314.31,none,Memory usage within normal range (40.2% forecast)
318,6319.38,6320.76,none,Memory usage within normal range (40.2% forecast)
319,6335.81,6347.56,none,Memory usage within normal range (40.4% forecast)
320,6340.13,6371.86,none,Memory usage within normal range (40.6% forecast)
321,6330.57,6386.87,none,Memory usage within normal range (40.7% forecast)
322,6320.12,6387.16,none,Memory usage within normal range (40.7% forecast)
323,6312.23,6393.11,none,Memory usage within normal range (40.7% forecast)
324,6321.73,6387.19,none,Memory usage within normal range (40.7% forecast)
325,6310.97,6403.06,none,Memory usage within normal range (40.8% forecast)
326,6303.85,6405.48,none,Memory usage within normal range (40.8% forecast)
327,6305.52,6436.07,none,Memory usage within normal range (41.0% forecast)
328,6314.24,6434.75,none,Memory usage within normal range (41.0% forecast)
329,6336.14,6423.07,none,Memory usage within normal range (40.9% forecast)
330,6353.69,6418.67,none,Memory usage within normal range (40.9% forecast)
331,6374.48,6408.28,none,Memory usage within normal range (40.8% forecast)
332,6375.8,6410.71,none,Memory usage within normal range (40.8% forecast)
333,6383.8,6361.71,none,Memory usage within normal range (40.5% forecast)
334,6386.36,6245.0,none,Memory usage within normal range (39.8% forecast)
335,6424.4,6213.23,none,Memory usage within normal range (39.5% forecast)
336,6423.13,6257.07,none,Memory usage within normal range (39.8% forecast)
337,6450.49,6250.06,none,Memory usage within normal range (39.8% forecast)
338,6441.06,6282.64,none,Memory usage within normal range (40.0% forecast)
339,6434.1,6301.63,none,Memory usage within normal range (40.1% forecast)
340,6426.39,6257.12,none,Memory usage within normal range (39.8% forecast)
341,6416.46,6248.96,none,Memory usage within normal range (39.8% forecast)
342,6415.81,6241.5,none,Memory usage within normal range (39.7% forecast)
343,6405.76,6268.39,none,Memory usage within normal range (39.9% forecast)
344,6149.47,6255.93,none,Memory usage within normal range (39.8% forecast)
345,6162.94,6270.11,none,Memory usage within normal range (39.9% forecast)
346,6181.51,6262.66,none,Memory usage within normal range (39.9% forecast)
347,6215.8,6088.38,none,Memory usage within normal range (38.8% forecast)
348,6248.53,6090.05,none,Memory usage within normal range (38.8% forecast)
349,6256.56,6079.36,none,Memory usage within normal range (38.7% forecast)
350,6247.74,6076.41,none,Memory usage within normal range (38.7% forecast)
351,6250.8,6039.2,none,Memory usage within normal range (38.4% forecast)
352,6234.69,6059.81,none,Memory usage within normal range (38.6% forecast)
353,6231.2,6051.86,none,Memory usage within normal range (38.5% forecast)
354,6259.86,6023.87,none,Memory usage within normal range (38.3% forecast)
355,6282.7,6060.94,none,Memory usage within normal range (38.6% forecast)
356,6302.7,6090.46,none,Memory usage within normal range (38.8% forecast)
357,6045.89,6074.47,none,Memory usage within normal range (38.7% forecast)
358,6042.53,5971.31,none,Memory usage within normal range (38.0% forecast)
359,6020.42,5989.6,none,Memory usage within normal range (38.1% forecast)
360,6027.7,6004.6,none,Memory usage within normal range (38.2% forecast)
361,6000.99,5985.53,none,Memory usage within normal range (38.1% forecast)
362,5994.77,5971.61,none,Memory usage within normal range (38.0% forecast)
363,5995.59,5974.49,none,Memory usage within normal range (38.0% forecast)
364,5980.6,5982.17,none,Memory usage within normal range (38.1% forecast)
365,5994.03,5979.35,none,Memory usage within normal range (38.1% forecast)
366,5990.5,6054.21,none,Memory usage within normal range (38.5% forecast)
367,5982.01,5999.43,none,Memory usage within normal range (38.2% forecast)
368,5962.58,6051.24,none,Memory usage within normal range (38.5% forecast)
369,5986.28,6058.71,none,Memory usage within normal range (38.6% forecast)
370,5998.95,6054.98,none,Memory usage within normal range (38.5% forecast)
371,5972.35,6549.61,prealloc,Predicted spike of 577 MB (current 5972 -> forecast 6550) exceeds 200 MB delta -- recommend pre-allocation
372,5968.15,6460.43,prealloc,Predicted spike of 492 MB (current 5968 -> forecast 6460) exceeds 200 MB delta -- recommend pre-allocation
373,5967.01,6451.21,prealloc,Predicted spike of 484 MB (current 5967 -> forecast 6451) exceeds 200 MB delta -- recommend pre-allocation
374,5986.31,6570.19,prealloc,Predicted spike of 584 MB (current 5986 -> forecast 6570) exceeds 200 MB delta -- recommend pre-allocation
375,5972.94,6550.9,prealloc,Predicted spike of 578 MB (current 5973 -> forecast 6551) exceeds 200 MB delta -- recommend pre-allocation
376,5982.37,6560.28,prealloc,Predicted spike of 578 MB (current 5982 -> forecast 6560) exceeds 200 MB delta -- recommend pre-allocation
377,5987.96,6817.2,prealloc,Predicted spike of 829 MB (current 5988 -> forecast 6817) exceeds 200 MB delta -- recommend pre-allocation
378,5967.21,6815.44,prealloc,Predicted spike of 848 MB (current 5967 -> forecast 6815) exceeds 200 MB delta -- recommend pre-allocation
379,5992.38,6783.64,prealloc,Predicted spike of 791 MB (current 5992 -> forecast 6784) exceeds 200 MB delta -- recommend pre-allocation
380,5985.87,6963.43,prealloc,Predicted spike of 978 MB (current 5986 -> forecast 6963) exceeds 200 MB delta -- recommend pre-allocation
381,6426.37,7183.29,prealloc,Predicted spike of 757 MB (current 6426 -> forecast 7183) exceeds 200 MB delta -- recommend pre-allocation
382,6429.89,7290.3,prealloc,Predicted spike of 860 MB (current 6430 -> forecast 7290) exceeds 200 MB delta -- recommend pre-allocation
383,6437.84,7275.84,prealloc,Predicted spike of 838 MB (current 6438 -> forecast 7276) exceeds 200 MB delta -- recommend pre-allocation
384,6452.32,7241.94,prealloc,Predicted spike of 790 MB (current 6452 -> forecast 7242) exceeds 200 MB delta -- recommend pre-allocation
385,6473.13,7241.05,prealloc,Predicted spike of 768 MB (current 6473 -> forecast 7241) exceeds 200 MB delta -- recommend pre-allocation
386,6493.62,7172.91,prealloc,Predicted spike of 679 MB (current 6494 -> forecast 7173) exceeds 200 MB delta -- recommend pre-allocation
387,6764.47,7194.09,prealloc,Predicted spike of 430 MB (current 6764 -> forecast 7194) exceeds 200 MB delta -- recommend pre-allocation
388,6764.84,7189.54,prealloc,Predicted spike of 425 MB (current 6765 -> forecast 7190) exceeds 200 MB delta -- recommend pre-allocation
389,6770.92,7145.02,prealloc,Predicted spike of 374 MB (current 6771 -> forecast 7145) exceeds 200 MB delta -- recommend pre-allocation
390,7260.95,7172.28,none,Memory usage within normal range (45.7% forecast)
391,7285.03,7153.92,none,Memory usage within normal range (45.5% forecast)
